suburb,state,latitude,longitude,assigned_region,index_right,SA4_NAME21,final_region,was_different
Oaks Estate,ACT,-35.34,149.228,,101.0,Australian Capital Territory,Australian Capital Territory,True
Williamsdale,ACT,-35.4404,149.2114,,0.0,Capital Region,Capital Region,True
Hume,ACT,-35.3855,149.1658,,101.0,Australian Capital Territory,Australian Capital Territory,True
Tharwa,ACT,-35.5167,149.0667,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Beard,ACT,-35.3422,149.2101,,101.0,Australian Capital Territory,Australian Capital Territory,True
Fisher,ACT,-35.3613,149.057,Barossa - Yorke - Mid North,101.0,Australian Capital Territory,Australian Capital Territory,True
Denman Prospect,ACT,-35.2996,149.0207,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Rivett,ACT,-35.3471,149.0379,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Waramanga,ACT,-35.353,149.0621,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Weston Creek,ACT,-35.3333,149.05,Latrobe - Gippsland,101.0,Australian Capital Territory,Australian Capital Territory,True
Pierces Creek,ACT,-35.3497,148.9986,Darling Downs - Maranoa,101.0,Australian Capital Territory,Australian Capital Territory,True
Duffy,ACT,-35.3346,149.0319,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Molonglo,ACT,-35.3333,149.1833,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Whitlam,ACT,-35.3497,148.9986,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Wright,ACT,-35.3224,149.0346,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Chapman,ACT,-35.3562,149.0374,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Uriarra Village,ACT,-35.2947,148.9256,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Coree,ACT,-35.2794,148.9194,Murray,101.0,Australian Capital Territory,Australian Capital Territory,True
Coombs,ACT,-35.3163,149.0394,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Russell,ACT,-35.2977,149.151,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Yarralumla,ACT,-35.2998,149.1058,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Barton,ACT,-35.3049,149.1412,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Deakin,ACT,-35.3193,149.1031,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Capital Hill,ACT,-35.3066,149.1246,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
City,ACT,-35.2813,149.1293,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Hackett,ACT,-35.2495,149.1635,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Watson,ACT,-35.2381,149.1527,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Downer,ACT,-35.2446,149.1447,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Ainslie,ACT,-35.2625,149.1437,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Lyneham,ACT,-35.2398,149.1307,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Dickson,ACT,-35.2508,149.1393,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Forrest,ACT,-35.315,149.1286,,101.0,Australian Capital Territory,Australian Capital Territory,True
Red Hill,ACT,-35.3262,149.1191,Launceston and North East,101.0,Australian Capital Territory,Australian Capital Territory,True
Narrabundah,ACT,-35.3357,149.1492,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Kingston,ACT,-35.3152,149.1466,New England and North West,101.0,Australian Capital Territory,Australian Capital Territory,True
Garran,ACT,-35.3421,149.1085,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Curtin,ACT,-35.3246,149.0776,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Phillip,ACT,-35.3503,149.0915,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
O'Malley,ACT,-35.3525,149.1128,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Mawson,ACT,-35.3634,149.0986,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Isaacs,ACT,-35.3686,149.1156,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Pearce,ACT,-35.3622,149.0834,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Farrer,ACT,-35.3767,149.105,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Torrens,ACT,-35.372,149.0877,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Canberra Airport,ACT,-35.3179,149.1832,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Fyshwick,ACT,-35.3333,149.1667,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Pialligo,ACT,-35.3201,149.207,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Symonston,ACT,-35.3516,149.1592,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Turner,ACT,-35.2688,149.1247,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Braddon,ACT,-35.2708,149.1357,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Campbell,ACT,-35.2891,149.1538,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Page,ACT,-35.2386,149.0499,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Weetangera,ACT,-35.25,149.05,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Cook,ACT,-35.2601,149.0657,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Aranda,ACT,-35.2582,149.0804,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Scullin,ACT,-35.2346,149.039,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Macquarie,ACT,-35.2513,149.0636,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Strathnairn,ACT,-35.21,149.0357,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Holt,ACT,-35.2244,149.0119,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Higgins,ACT,-35.2324,149.0272,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Macnamara,ACT,-35.21,149.0357,,101.0,Australian Capital Territory,Australian Capital Territory,True
Fraser,ACT,-35.1917,149.0453,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Kippax,ACT,-35.21,149.0357,Mid North Coast,101.0,Australian Capital Territory,Australian Capital Territory,True
Charnwood,ACT,-35.2002,149.0341,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Florey,ACT,-35.2259,149.05,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Dunlop,ACT,-35.194,149.0198,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Melba,ACT,-35.2102,149.0541,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Spence,ACT,-35.1987,149.0644,,101.0,Australian Capital Territory,Australian Capital Territory,True
Belconnen,ACT,-35.238,149.0663,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Evatt,ACT,-35.2119,149.0689,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Giralang,ACT,-35.2109,149.096,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Kaleen,ACT,-35.2181,149.1052,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Mckellar,ACT,-35.2175,149.077,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Hall,ACT,-35.1685,149.0683,,101.0,Australian Capital Territory,Australian Capital Territory,True
Greenway,ACT,-35.4183,149.0666,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Tuggeranong,ACT,-35.4165,149.0695,,101.0,Australian Capital Territory,Australian Capital Territory,True
Kambah,ACT,-35.3862,149.058,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Wanniassa,ACT,-35.3978,149.0909,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Macarthur,ACT,-35.4089,149.127,,101.0,Australian Capital Territory,Australian Capital Territory,True
Fadden,ACT,-35.405,149.1166,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Calwell,ACT,-35.4404,149.1071,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Richardson,ACT,-35.4279,149.1138,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Isabella Plains,ACT,-35.4283,149.088,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Bonython,ACT,-35.4333,149.0782,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Banks,ACT,-35.4719,149.0997,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Conder,ACT,-35.4593,149.1042,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
Crace,ACT,-35.2028,149.1074,Australian Capital Territory,101.0,Australian Capital Territory,Australian Capital Territory,False
