suburb,state,latitude,longitude
Adilabad,Andhra Pradesh,19.256979179003075,78.9719953809062
Agra,Uttar Pradesh,27.03797123391708,78.07933939422655
Ahmadabad,Gujarat,22.711647844510438,72.19613823184952
Ahmadnagar,Maharashtra,19.204835385732707,74.67651655890515
Aizawl,Mizoram,23.81135126955893,92.88915797589665
Ajmer,Rajasthan,26.23093478014917,74.77519789080098
Akola,Maharashtra,20.74941653626052,77.05327985117816
Alappuzha,Kerala,9.42374174818029,76.44953171883013
Aligarh,Uttar Pradesh,27.92707933792397,78.0793090561671
Alirajpur,Madhya Pradesh,22.31418024457722,74.36458358174268
Allahabad,Uttar Pradesh,25.299525050714085,81.97168291993609
Almora,Uttarakhand,29.689426915260874,79.50178547953968
Alwar,Rajasthan,27.59265490201197,76.6060086376742
Ambala,Haryana,30.32869633826384,76.94227084459402
Ambedkar Nagar,Uttar Pradesh,26.420181634903063,82.66850173855383
Amravati,Maharashtra,21.188684943985947,77.57167805446147
Amreli,Gujarat,21.38491346469528,71.21650575739966
Amritsar,Punjab,31.70484762798978,74.9005742708566
Anand,Gujarat,22.448134251600404,72.77741758301866
Anantapur,Andhra Pradesh,14.482049128643329,77.57669972514844
Anantnag,Jammu & Kashmir,33.816141058311736,75.3575222014778
Anjaw,Arunanchal Pradesh,28.06600217175343,96.82868702505033
Anugul,Odisha,20.986960102595383,84.90916080718043
Anuppur,Madhya Pradesh,23.057024127811953,81.68412711167252
Araria,Bihar,26.199718615243867,87.35433084092533
Ariyalur,Tamil Nadu,11.160620409143508,79.24425248797971
Ashoknagar,Madhya Pradesh,24.609730544800797,77.875177297593
Auraiya,Uttar Pradesh,26.66093639692288,79.48278512875295
Aurangabad,Bihar,24.793161858202733,84.41229097360156
Aurangabad,Maharashtra,20.022372135856248,75.27357908900201
Azamgarh,Uttar Pradesh,26.047468463789468,83.06968321317174
Badgam,Jammu & Kashmir,33.89014836915406,74.66304064313675
Bagalkot,Karnataka,16.22090049806482,75.62517176277908
Bageshwar,Uttarakhand,29.991447719751516,79.85968923036216
Baghpat,Uttar Pradesh,29.0555132909466,77.31284123126326
Bahraich,Uttar Pradesh,27.737837561531567,81.45156959804024
Baksa,Assam,26.664933278570118,91.346497484041
Balaghat,Madhya Pradesh,21.88137233094057,80.36075881370567
Balangir,Odisha,20.590862801257792,83.17397494215
Baleshwar,Odisha,21.490175846342673,86.91734965624593
Ballia,Uttar Pradesh,25.875589939538823,84.10535383313558
Balrampur,Uttar Pradesh,27.485350304891732,82.37758928059372
Banas Kantha,Gujarat,24.283958392307824,72.03183776457492
Banda,Uttar Pradesh,25.465514355399456,80.56179929385885
Bandipore,Jammu & Kashmir,34.504272806942645,74.8282170190878
Bangalore Rural,Karnataka,13.22576267022119,77.57497614108132
Bangalore,Karnataka,12.950945067610759,77.59592359827768
Banka,Bihar,24.853937851872065,86.84089211877244
Bankura,West Bengal,23.14153130710338,87.13501648756137
Banswara,Rajasthan,23.475646129593983,74.36390476863866
Bara Banki,Uttar Pradesh,26.939153959480763,81.32730234086621
Bargarh,Odisha,21.220741623911234,83.3537984927443
Baramula,Jammu & Kashmir,34.16298630781218,74.46335627297495
Baran,Rajasthan,24.996034617607336,76.75663111162648
Barddhaman,West Bengal,23.42829848287737,87.76738882457471
Bareilly,Uttar Pradesh,28.449942776479002,79.42232566281356
Barmer,Rajasthan,25.737398170466456,71.47346992769717
Barnala,Punjab,30.39740535003875,75.50480304345388
Barpeta,Assam,26.340410244313563,91.01090946199972
Barwani,Madhya Pradesh,21.787753812911934,75.02117456266379
Bastar,Chhattisgarh,19.42333345799433,81.77005140728022
Basti,Uttar Pradesh,26.818578395583945,82.63107734261837
Bathinda,Punjab,30.183172426894696,75.04071126507328
Bauda,Odisha,20.646945526700293,84.17760929548784
Begusarai,Bihar,25.49543895381757,86.13079675652988
Belgaum,Karnataka,16.120582199430974,74.8231354465012
Bellary,Karnataka,15.11002052022031,76.53360104185684
Betul,Madhya Pradesh,21.878615309268554,77.87107012026414
Bhadrak,Odisha,20.98598271129392,86.62536019692577
Bhagalpur,Bihar,25.27060278299008,87.08439284507178
Bhandara,Maharashtra,21.129850448460154,79.75085906781024
Bharatpur,Rajasthan,27.246646566732547,77.2786898364027
Bharuch,Gujarat,21.78679779803894,72.92500482246312
Bhavnagar,Gujarat,21.667571181962654,71.84098427305655
Bhilwara,Rajasthan,25.480564511188625,74.72897280083095
Bhind,Madhya Pradesh,26.421528973817484,78.72256365414245
