suburb,state,latitude,longitude,index_right,id,name,additional,type,major_name,major_na_1,territoria,population,name_ascii,addition_1,major_na_2,territor_1,final_region,was_different
Beggs Pool,Taupo District,-39.13002354316035,175.8231812971276,0.0,2978.0,Beggs Pool,,Lake,,,Taupo District,,Beggs Pool,,,Taupo District,Taupo District,False
Meybille Bay,Area outside Territorial Authority,-42.07187347598554,171.35707433069166,1.0,7140.0,Meybille Bay,,Coastal Bay,,,Area outside Territorial Authority,,Meybille Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Whakamoa Bay,Area outside Territorial Authority,-43.89757027501114,172.88080158416682,2.0,7828.0,Whakamoa Bay,,Coastal Bay,,,Area outside Territorial Authority,,Whakamoa Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Sunkist Bay,Auckland,-36.879762221022375,174.99022292734765,3.0,7545.0,Sunkist Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Sunkist Bay,Hauraki Gulf,,Auckland,Auckland,False
Lorenzen Bay,Waikato District,-37.79834357289427,174.88681464121598,4.0,7072.0,Lorenzen Bay,Whaingaroa Harbour,Coastal Bay,,,Waikato District,,Lorenzen Bay,Whaingaroa Harbour,,Waikato District,Waikato District,False
Prospectors Bay,Southland District,-45.09783266202679,167.57386769517868,5.0,7402.0,Prospectors Bay,"North West Arm, Middle Fiord, Lake Te Anau",Inland Bay,,,Southland District,,Prospectors Bay,"North West Arm, Middle Fiord, Lake Te Anau",,Southland District,Southland District,False
Motumorirau Island / Pauls Island,Area outside Territorial Authority,-36.74007483446238,175.4162548599894,6.0,4588.0,Motumorirau Island / Pauls Island,"Motumorirau Island, Pauls Island, Hauraki Gulf",Island,,,Area outside Territorial Authority,,Motumorirau Island / Pauls Island,"Motumorirau Island, Pauls Island, Hauraki Gulf",,Area outside Territorial Authority,Area outside Territorial Authority,False
Deadmans Bay,Auckland,-36.839946377676185,175.0916340248088,7.0,8442.0,Deadmans Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Deadmans Bay,Hauraki Gulf,,Auckland,Auckland,False
Ngāhauā Bay,Rotorua District,-38.10867691880118,176.42836242678325,8.0,8742.0,Ngāhauā Bay,"Lake Okataina / Te Moana i kataina a Te Rangitakaroro, Lake Ōkataina/Te Moana i kataina ā Te Rangitakaroro",Inland Bay,,,Rotorua District,,Ngahaua Bay,"Lake Okataina / Te Moana i kataina a Te Rangitakaroro, Lake Okataina/Te Moana i kataina a Te Rangitakaroro",,Rotorua District,Rotorua District,False
Motu Kapiti Island,Whangarei District,-35.46991512679846,174.73302549242555,9.0,4520.0,Motu Kapiti Island,Poor Knights Islands,Island,,,Whangarei District,,Motu Kapiti Island,Poor Knights Islands,,Whangarei District,Whangarei District,False
Stop Island,Southland District,-45.7658545357207,166.54231713250866,10.0,4954.0,Stop Island,Tamatea / Dusky Sound,Island,,,Southland District,,Stop Island,Tamatea / Dusky Sound,,Southland District,Southland District,False
Frankton Arm,Queenstown-Lakes District,-45.030931529938,168.69881352366315,11.0,6829.0,Frankton Arm,Lake Wakatipu,Inland Bay,,,Queenstown-Lakes District,,Frankton Arm,Lake Wakatipu,,Queenstown-Lakes District,Queenstown-Lakes District,False
Pateko Island,Rotorua District,-38.02789040912848,176.40981613053052,12.0,4795.0,Pateko Island,Lake Rotoiti,Island,,,Rotorua District,,Pateko Island,Lake Rotoiti,,Rotorua District,Rotorua District,False
Ouokaha Island,Marlborough District,-41.11031719933776,173.97743062624403,13.0,4772.0,Ouokaha Island,Crail Bay,Island,Marlborough Sounds,Major Locality,Marlborough District,,Ouokaha Island,Crail Bay,Marlborough Sounds,Marlborough District,Marlborough District,False
Te Korokoroowhaitiri Bay,Wairoa District,-38.79547809720393,176.98696213832932,14.0,7624.0,Te Korokoroowhaitiri Bay,"Wairaomoana (Wairau Arm), Lake Waikaremoana",Inland Bay,,,Wairoa District,,Te Korokoroowhaitiri Bay,"Wairaomoana (Wairau Arm), Lake Waikaremoana",,Wairoa District,Wairoa District,False
O Wiwi Ku,Ōtorohanga District,-38.09122120318049,174.86691913484682,15.0,4737.0,O Wiwi Ku,Kawhia Harbour,Island,,,Ōtorohanga District,,O Wiwi Ku,Kawhia Harbour,,Otorohanga District,Ōtorohanga District,False
Rat Island,Southland District,-47.133504584838,167.5679112699549,16.0,4880.0,Rat Island,Tītī / Muttonbird Islands,Island,,,Southland District,,Rat Island,Titi / Muttonbird Islands,,Southland District,Southland District,False
Glasgow Bay,Marlborough District,-41.30845144190048,174.22091896718973,17.0,417.0,Glasgow Bay,,Locality,Picton,Town,Marlborough District,,Glasgow Bay,,Picton,Marlborough District,Marlborough District,False
Tāmihau Island,Southland District,-46.93359359741714,168.10716150745165,18.0,4968.0,Tāmihau Island,Paterson Inlet/Whaka a Te Wera,Island,,,Southland District,,Tamihau Island,Paterson Inlet/Whaka a Te Wera,,Southland District,Southland District,False
Wattle Bay,Auckland,-36.93756189244754,174.72524700591774,19.0,7816.0,Wattle Bay,Manukau Harbour,Coastal Bay,,,Auckland,,Wattle Bay,Manukau Harbour,,Auckland,Auckland,False
Florance Bay,Area outside Territorial Authority,-34.8399073641702,173.44885797562094,20.0,6820.0,Florance Bay,Whangatupere Bay,Coastal Bay,,,Area outside Territorial Authority,,Florance Bay,Whangatupere Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
Double Bay,Marlborough District,-41.18949495225939,173.94002095838573,21.0,6771.0,Double Bay,Kenepuru Sound,Coastal Bay,,,Marlborough District,,Double Bay,Kenepuru Sound,,Marlborough District,Marlborough District,False
Roaring Bay,Area outside Territorial Authority,-46.44844569383204,169.80172567393615,22.0,7444.0,Roaring Bay,,Coastal Bay,,,Area outside Territorial Authority,,Roaring Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Jordy Rocks,Marlborough District,-41.24951441700347,174.2933673629269,23.0,4400.0,Jordy Rocks,Cook Strait,Island,,,Marlborough District,,Jordy Rocks,Cook Strait,,Marlborough District,Marlborough District,False
Half Passage Rock,Southland District,-46.82149476707991,168.40443609681756,24.0,4342.0,Half Passage Rock,,Island,,,Southland District,,Half Passage Rock,,,Southland District,Southland District,False
Girlies Island,Southland District,-45.72432536024108,166.92959413874044,25.0,4318.0,Girlies Island,Tamatea / Dusky Sound,Island,,,Southland District,,Girlies Island,Tamatea / Dusky Sound,,Southland District,Southland District,False
Whangaroa Harbour,Far North District,-35.05181400459277,173.7349365544019,26.0,8630.0,Whangaroa Harbour,,Coastal Bay,,,Far North District,,Whangaroa Harbour,,,Far North District,Far North District,False
Shag Bay,Area outside Territorial Authority,-36.49931457794223,175.42359499143237,27.0,7488.0,Shag Bay,,Coastal Bay,,,Area outside Territorial Authority,,Shag Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Motuharakeke Island,Auckland,-35.9014337430567,175.11925780733114,28.0,4535.0,Motuharakeke Island,Mokohinau Islands,Island,,,Auckland,,Motuharakeke Island,Mokohinau Islands,,Auckland,Auckland,False
