suburb,state,latitude,longitude
Beggs Pool,Taupo District,-39.13002354316035,175.8231812971276
Meybille Bay,Area outside Territorial Authority,-42.07187347598554,171.35707433069166
Whakamoa Bay,Area outside Territorial Authority,-43.89757027501114,172.88080158416682
Sunkist Bay,Auckland,-36.879762221022375,174.99022292734765
Lorenzen Bay,Waikato District,-37.79834357289427,174.88681464121598
Prospectors Bay,Southland District,-45.09783266202679,167.57386769517868
Motumorirau Island / Pauls Island,Area outside Territorial Authority,-36.74007483446238,175.4162548599894
Deadmans Bay,Auckland,-36.839946377676185,175.0916340248088
Ngāhauā Bay,Rotorua District,-38.10867691880118,176.42836242678325
Motu Kapiti Island,Whangarei District,-35.46991512679846,174.73302549242555
Stop Island,Southland District,-45.7658545357207,166.54231713250866
Frankton Arm,Queenstown-Lakes District,-45.030931529937995,168.69881352366315
Pateko Island,Rotorua District,-38.02789040912848,176.40981613053052
Ouokaha Island,Marlborough District,-41.11031719933776,173.97743062624403
Te Korokoroowhaitiri Bay,Wairoa District,-38.79547809720393,176.98696213832932
O Wiwi Ku,Ōtorohanga District,-38.09122120318049,174.86691913484682
Rat Island,Southland District,-47.133504584838,167.5679112699549
Glasgow Bay,Marlborough District,-41.30845144190048,174.22091896718973
Tāmihau Island,Southland District,-46.93359359741714,168.10716150745165
Wattle Bay,Auckland,-36.93756189244754,174.72524700591774
Florance Bay,Area outside Territorial Authority,-34.8399073641702,173.44885797562094
Double Bay,Marlborough District,-41.18949495225939,173.94002095838573
Roaring Bay,Area outside Territorial Authority,-46.44844569383204,169.80172567393615
Jordy Rocks,Marlborough District,-41.24951441700347,174.2933673629269
Half Passage Rock,Southland District,-46.821494767079905,168.40443609681756
Girlies Island,Southland District,-45.724325360241075,166.92959413874044
Whangaroa Harbour,Far North District,-35.05181400459277,173.7349365544019
Shag Bay,Area outside Territorial Authority,-36.49931457794223,175.42359499143237
Motuharakeke Island,Auckland,-35.9014337430567,175.11925780733114
Kaikaitāhuna Bay,Rotorua District,-38.03623332333127,176.25630607685127
Whiorau Bay,Far North District,-35.247249697017274,174.2511686902658
Skull Bay,Marlborough District,-40.747518940243005,173.92226421784156
Victory Island / Moutītī,Marlborough District,-40.73601269367684,173.91397019550885
Crayfish Rock,Auckland,-36.21151312045292,175.04957825604475
Mauitaha Island,Whangarei District,-35.89429004576788,174.69632486853192
Waimate Island,Thames-Coromandel District,-36.76392996296763,175.41789042289074
Kaitirehe Rock,Area outside Territorial Authority,-34.99620482351429,173.927661231228
Te Wairoa Bay,Rotorua District,-38.03235861167107,176.54435082574253
Moturoa Island,Kaipara District,-36.28617900656443,174.27192331413636
Atuatangi Bay,Marlborough District,-40.907359258394344,173.7919852770754
Tarakanahi Island,Whangarei District,-35.83688017360696,174.5811897106101
Whalers Bay,Invercargill City,-46.48186112351221,168.30249893665612
Paripari te tai Bay,Rotorua District,-38.01729557427098,176.40886033090553
Sponge Bay,Area outside Territorial Authority,-38.70588359731593,178.0589673577293
Kau Bay,Area outside Territorial Authority,-41.285567709542086,174.83226576331003
Martello Rock / Ruakōura,Auckland,-36.4314221171401,174.80712660370102
Dobson Bay,Grey District,-42.60539178498445,171.41896322113405
Sandy Bay Island,Auckland,-36.725867269368244,174.95438289640816
Maitai Bay,Area outside Territorial Authority,-34.82482480593076,173.41184726827018
Hincheys Outlet,Southland District,-45.816824811341,167.51980183054587
Owhatanga Bay,Far North District,-35.021480451134394,173.7723821454243
Last Cove,Southland District,-45.98117527980484,166.78481785680682
