suburb,state,latitude,longitude
Forrest,ACT,-35.315,149.1286
Spence,ACT,-35.1987,149.0644
Tuggeranong,ACT,-35.4165,149.0695
Macarthur,ACT,-35.4089,149.127
Mount Cooper,NSW,-36.665,149.218
Craigie,NSW,-37.0833,149.05
Shane Park,NSW,-33.7434,150.7398
Burwood,NSW,-33.8833,151.1
Gangara,NSW,-30.272,152.6252
Granville,NSW,-33.8406,151.0075
Wetherill Park Bc,NSW,-33.8502,150.9279
Cullya,NSW,-33.3354,149.2323
Warnecliffe,NSW,-33.0191,148.9177
Wetherill Park Dc,NSW,-33.8428,150.9006
Mount Hope,NSW,-32.839,145.8806
Reedy Creek,NSW,-32.6377,151.093
Lakelands,NSW,-32.9619,151.6497
Cattle Creek,NSW,-31.7114,150.5995
Carrington,NSW,-32.915,151.7644
Georgetown,NSW,-32.9081,151.7312
Newport,NSW,-33.6564,151.314
Port Macquarie Bc,NSW,-31.5775,152.7241
Coogee,NSW,-33.9205,151.2552
Reedy Creek,NSW,-32.7114,150.0719
Kianga,NSW,-36.1945,150.1268
Kosciusko,NSW,-36.5051,148.3032
Bangor,NSW,-34.0167,151.0333
Enmore,NSW,-33.9005,151.1731
Scotts Creek,NSW,-31.7641,150.8869
Tweed Heads South Dc,NSW,-28.2192,153.4747
Enmore,NSW,-30.7333,151.8
Barrington,NSW,-31.9726,151.9031
Wiaborough,NSW,-34.6821,149.7157
Longreach,NSW,-35.0036,150.586
Northlakes,NT,-12.382,130.9006
Mickett Creek,NT,-12.7282,131.665
The Gardens,NT,-12.4486,130.837
Coonawarra,NT,-12.4341,130.9098
Ascot,QLD,-27.4315,153.058
Glenforest,QLD,-24.8622,152.319
South End,QLD,-24.013,151.249
Many Peaks,QLD,-24.543,151.3668
Horn Island,QLD,-16.6282,145.2087
Cannon Creek,QLD,-28.6036,151.8722
Longreach,QLD,-22.9833,144.4833
Scrubby Creek,QLD,-25.0109,146.2196
Brisbane-City,QLD,-27.4651,153.0231
Bowen Bridge,QLD,-27.4474,153.0335
Fortitude Valley Bc,QLD,-27.4474,153.0335
South Brisbane Bc,QLD,-27.4816,153.0175
Maidavale,QLD,-19.7249,147.3717
