suburb,state,assigned_region
Aarons Pass,New South Wales,Central West
Abbotsbury,New South Wales,Sydney - South West
Abbotsford (NSW),,
Abercrombie,New South Wales,Central West
Abercrombie River,,
Aberdare,New South Wales,Hunter Valley exc Newcastle
Aberdeen (NSW),New South Wales,Hunter Valley exc Newcastle
Aberfoyle,New South Wales,New England and North West
Aberglasslyn,New South Wales,Hunter Valley exc Newcastle
Abermain,New South Wales,Hunter Valley exc Newcastle
Abernethy,New South Wales,Hunter Valley exc Newcastle
Abington (NSW),New South Wales,New England and North West
Acacia Creek,,
Acacia Gardens,New South Wales,Sydney - Blacktown
Adaminaby,New South Wales,Capital Region
Adamstown,New South Wales,Newcastle and Lake Macquarie
Adamstown Heights,New South Wales,Newcastle and Lake Macquarie
Adelong,New South Wales,Riverina
Adjungbilly,,
Afterlee,New South Wales,Richmond - Tweed
Agnes Banks,,
Airds,New South Wales,Sydney - Outer South West
Akolele,,
Albert,,
Albion Park,New South Wales,Illawarra
Albion Park Rail,,
Albury,,
Aldavilla,New South Wales,Mid North Coast
Alectown,New South Wales,Central West
Alexandria,New South Wales,Sydney - City and Inner South
Alfords Point,,
Alfredtown,New South Wales,Riverina
Alice,New South Wales,Coffs Harbour - Grafton
Alison (Central Coast - NSW),New South Wales,Central Coast
Alison (Dungog - NSW),New South Wales,Hunter Valley exc Newcastle
Allambie Heights,New South Wales,Sydney - Northern Beaches
Allandale (NSW),New South Wales,Hunter Valley exc Newcastle
Allawah,New South Wales,Sydney - Inner South West
Alleena,New South Wales,Central West
Allgomera,New South Wales,Mid North Coast
Allworth,New South Wales,Mid North Coast
Allynbrook,New South Wales,Hunter Valley exc Newcastle
Alma Park,,
Alpine,,
Alstonvale,New South Wales,Richmond - Tweed
Alstonville,New South Wales,Richmond - Tweed
Alumy Creek,New South Wales,Coffs Harbour - Grafton
Amaroo (NSW),New South Wales,Central West
Ambarvale,New South Wales,Sydney - Outer South West
Amosfield,,
Anabranch North,,
Anabranch South,,
Anambah,New South Wales,Hunter Valley exc Newcastle
Ando,New South Wales,Capital Region
Anembo,New South Wales,Capital Region
Angledale,New South Wales,Capital Region
Angledool,,
Anglers Reach,New South Wales,Capital Region
Angourie,,
Angus,,
Anna Bay,,
Annandale (NSW),,
Annangrove,New South Wales,Sydney - Baulkham Hills and Hawkesbury
Appin (NSW),,
Apple Tree Flat,New South Wales,Central West
Appleby,New South Wales,New England and North West
Appletree Flat,New South Wales,Hunter Valley exc Newcastle
Apsley (NSW),New South Wales,Far West and Orana
Arable,New South Wales,Capital Region
Arakoon,,
Araluen (NSW),New South Wales,Capital Region
Aratula (NSW),,
Arcadia (NSW),,
Arcadia Vale,,
Ardglen,,
Arding,New South Wales,New England and North West
Ardlethan,,
Argalong,New South Wales,Riverina
Argenton,New South Wales,Newcastle and Lake Macquarie
Argents Hill,New South Wales,Mid North Coast
Argoon,,
Ariah Park,,
Arkell,New South Wales,Central West
Arkstone,,
Armatree,New South Wales,Far West and Orana
Armidale,New South Wales,New England and North West
Arncliffe,,
