suburb,state,assigned_region,latitude,longitude
Aarons Pass,New South Wales,Central West,-32.8685,149.8073
Abbotsbury,New South Wales,Sydney - South West,-33.8701,150.8612
Abbotsford (NSW),,,,
Abercrombie,New South Wales,Central West,-33.3887,149.5458
Abercrombie River,,,-33.8974,149.3439
Aberdare,New South Wales,Hunter Valley exc Newcastle,-32.8411,151.3817
Aberdeen (NSW),New South Wales,Hunter Valley exc Newcastle,,
Aberfoyle,New South Wales,New England and North West,-30.2667,152.0167
Aberglasslyn,New South Wales,Hunter Valley exc Newcastle,-32.7,151.5333
Abermain,New South Wales,Hunter Valley exc Newcastle,-32.8074,151.4275
Abernethy,New South Wales,Hunter Valley exc Newcastle,-32.8875,151.4022
Abington (NSW),New South Wales,New England and North West,,
Acacia Creek,,,-28.3758,152.3214
Acacia Gardens,New South Wales,Sydney - Blacktown,-33.7316,150.9164
Adaminaby,New South Wales,Capital Region,-35.9965,148.7724
Adamstown,New South Wales,Newcastle and Lake Macquarie,-32.9382,151.7254
Adamstown Heights,New South Wales,Newcastle and Lake Macquarie,-32.9491,151.7101
Adelong,New South Wales,Riverina,-35.3049,148.069
Adjungbilly,,,-35.0861,148.4147
Afterlee,New South Wales,Richmond - Tweed,-28.5741,152.8287
Agnes Banks,,,-33.6094,150.7167
Airds,New South Wales,Sydney - Outer South West,-34.086,150.8332
Akolele,,,-36.3555,150.0772
Albert,,,-32.35,147.5
Albion Park,New South Wales,Illawarra,-34.5713,150.7757
Albion Park Rail,,,-34.5663,150.7918
Albury,,,-36.0748,146.924
Aldavilla,New South Wales,Mid North Coast,-31.0818,152.7679
Alectown,New South Wales,Central West,-32.9333,148.25
Alexandria,New South Wales,Sydney - City and Inner South,-33.8999,151.1995
Alexandria,New South Wales,Sydney - City and Inner South,-20.7507,139.5291
Alfords Point,,,-33.9874,151.0253
Alfredtown,New South Wales,Riverina,-35.1615,147.5104
Alice,New South Wales,Coffs Harbour - Grafton,-29.0555,152.5879
Alison (Central Coast - NSW),New South Wales,Central Coast,,
Alison (Dungog - NSW),New South Wales,Hunter Valley exc Newcastle,,
Allambie Heights,New South Wales,Sydney - Northern Beaches,-33.7666,151.2498
Allandale (NSW),New South Wales,Hunter Valley exc Newcastle,,
Allawah,New South Wales,Sydney - Inner South West,-33.9726,151.1144
Alleena,New South Wales,Central West,-34.0688,147.1392
Allgomera,New South Wales,Mid North Coast,-30.8182,152.7955
Allworth,New South Wales,Mid North Coast,-32.5368,151.9418
Allynbrook,New South Wales,Hunter Valley exc Newcastle,-32.3614,151.5364
Alma Park,,,-35.7622,146.9011
Alpine,,,-34.4093,150.5296
Alstonvale,New South Wales,Richmond - Tweed,-28.8082,153.4465
Alstonville,New South Wales,Richmond - Tweed,-28.8419,153.4402
Alumy Creek,New South Wales,Coffs Harbour - Grafton,-29.6485,152.9512
Amaroo (NSW),New South Wales,Central West,,
Ambarvale,New South Wales,Sydney - Outer South West,-34.0894,150.7966
Amosfield,,,-28.662,152.0712
Anabranch North,,,-33.9716,141.8629
Anabranch South,,,-33.7501,141.7274
Anambah,New South Wales,Hunter Valley exc Newcastle,-32.6718,151.4951
Ando,New South Wales,Capital Region,-36.7167,149.25
Anembo,New South Wales,Capital Region,-35.3561,149.4208
Angledale,New South Wales,Capital Region,-36.6318,149.8846
Angledool,,,-29.1102,147.9097
Anglers Reach,New South Wales,Capital Region,-36.0123,148.6961
Angourie,,,-29.4763,153.3588
Angus,,,-33.6503,150.8647
Anna Bay,,,-32.7813,152.0859
Annandale (NSW),,,,
Annangrove,New South Wales,Sydney - Baulkham Hills and Hawkesbury,-33.6576,150.9476
Appin (NSW),,,,
Apple Tree Flat,New South Wales,Central West,-32.6818,149.7012
Appleby,New South Wales,New England and North West,-30.9667,150.85
Appletree Flat,New South Wales,Hunter Valley exc Newcastle,-32.5053,150.8707
Apsley (NSW),New South Wales,Far West and Orana,,
Arable,New South Wales,Capital Region,-36.3826,148.9807
Arakoon,,,-30.8875,153.0721
Araluen (NSW),New South Wales,Capital Region,,
Aratula (NSW),,,,
Arcadia (NSW),,,,
Arcadia Vale,,,-33.0605,151.5841
Ardglen,,,-31.7358,150.7484
Arding,New South Wales,New England and North West,-30.5677,151.5254
Ardlethan,,,-34.3569,146.9018
Argalong,New South Wales,Riverina,-35.3126,148.4227
Argenton,New South Wales,Newcastle and Lake Macquarie,-32.935,151.6306
Argents Hill,New South Wales,Mid North Coast,-30.609,152.73
Argoon,,,-34.9236,145.6492
Argoon,,,-24.2527,150.4359
Ariah Park,,,-34.3493,147.2218
Arkell,New South Wales,Central West,-33.7284,149.3909
Arkstone,,,-34.09,149.6124
Armatree,New South Wales,Far West and Orana,-31.446,148.4748
Armidale,New South Wales,New England and North West,-30.5012,151.6655
Arncliffe,,,-33.9363,151.1482
Arndell Park,New South Wales,Sydney - Blacktown,-33.7893,150.8816
Arrawarra,,,-30.0606,153.1907
Arrawarra Headland,,,-30.0703,153.1974
Artarmon,New South Wales,Sydney - North Sydney and Hornsby,-33.8167,151.1833
Arthurville,New South Wales,Far West and Orana,-32.5667,148.75
Arumpo,,,-33.5036,143.3112
Ashbury,,,-33.8978,151.1196
Ashby (NSW),New South Wales,Coffs Harbour - Grafton,,
Ashby Heights,New South Wales,Coffs Harbour - Grafton,-29.4833,153.223
Ashby Island,New South Wales,Coffs Harbour - Grafton,-29.4833,153.223
Ashcroft,New South Wales,Sydney - South West,-33.916,150.8999
Ashfield (NSW),New South Wales,Sydney - Inner West,,
Ashford (NSW),New South Wales,New England and North West,,
Ashley,New South Wales,New England and North West,-29.3136,149.8081
Ashmont,New South Wales,Riverina,-35.1249,147.3317
Ashtonfield,New South Wales,Hunter Valley exc Newcastle,-32.7733,151.6058
Asquith,New South Wales,Sydney - North Sydney and Hornsby,-33.6871,151.1163
Atholwood,New South Wales,New England and North West,-28.9985,151.0512
Attunga,New South Wales,New England and North West,-30.9303,150.8468
Auburn (NSW),New South Wales,Sydney - Parramatta,,
Auburn Vale,New South Wales,New England and North West,-29.821,151.0454
Austinmer,,,-34.3052,150.9334
Austral,New South Wales,Sydney - South West,-33.9274,150.8081
Austral Eden,New South Wales,Mid North Coast,-31.0333,152.9167
Avalon Beach,,,-33.6359,151.329
Avisford,New South Wales,Central West,-32.7318,149.4846
Avoca (NSW),New South Wales,Southern Highlands and Shoalhaven,,
Avoca Beach,,,-33.4682,151.4339
Avon (NSW),,,,
Avondale (NSW),New South Wales,Illawarra,,
Avonside,New South Wales,Capital Region,-36.4084,148.7215
Awaba,New South Wales,Newcastle and Lake Macquarie,-33.0082,151.551
Aylmerton,New South Wales,Southern Highlands and Shoalhaven,-34.421,150.4973
Baan Baa,New South Wales,New England and North West,-30.5978,149.9496
Babinda (NSW),New South Wales,Far West and Orana,,
Babyl Creek,New South Wales,Richmond - Tweed,-28.8503,152.9637
Back Creek (Bland - NSW),New South Wales,Central West,,
Back Creek (Gwydir - NSW),New South Wales,New England and North West,,
Back Creek (Mid-Coast - NSW),New South Wales,Mid North Coast,,
Back Creek (Queanbeyan-Palerang Regional - NSW),New South Wales,Capital Region,,
Back Creek (Tenterfield - NSW),,,,
Back Creek (Tweed - NSW),New South Wales,Richmond - Tweed,,
Back Forest,New South Wales,Southern Highlands and Shoalhaven,-34.8445,150.6775
Backmede,New South Wales,Richmond - Tweed,-28.7508,153.0225
Backwater,New South Wales,New England and North West,-30.0652,151.8846
Badgerys Creek,,,-33.8907,150.7427
Badja,New South Wales,Capital Region,-36.0727,149.5329
Baerami,New South Wales,Hunter Valley exc Newcastle,-32.3818,150.4679
Baerami Creek,New South Wales,Hunter Valley exc Newcastle,-32.5,150.4667
Bagnoo,New South Wales,Mid North Coast,-31.4652,152.5346
Bago,New South Wales,Mid North Coast,-35.5667,147.9667
Bago,New South Wales,Mid North Coast,-31.4896,152.6425
Bagotville,New South Wales,Richmond - Tweed,-28.9819,153.4078
Bakers Creek (Mid-Coast - NSW),New South Wales,Mid North Coast,,
Bakers Creek (Nambucca Valley - NSW),New South Wales,Mid North Coast,,
Bakers Creek (Uralla - NSW),New South Wales,New England and North West,,
Bakers Swamp,New South Wales,Far West and Orana,-32.781,148.9153
Balaclava (NSW),New South Wales,Southern Highlands and Shoalhaven,,
Balala,New South Wales,New England and North West,-30.5679,151.4021
Balcolyn,,,-33.0957,151.552
Bald Blair,New South Wales,New England and North West,-30.2607,151.5837
Bald Hills (NSW),New South Wales,Capital Region,,
Bald Nob,New South Wales,New England and North West,-29.6574,151.9586
Bald Ridge,,,-33.8888,149.4609
Baldersleigh,New South Wales,New England and North West,-30.2555,151.426
Baldry,,,-32.8667,148.5
Balfours Peak,New South Wales,New England and North West,-29.4632,150.7855
Balgowlah,,,-33.7949,151.2572
Balgowlah Heights,,,-33.8066,151.2624
Balgownie,New South Wales,Illawarra,-34.3951,150.8805
Balickera,New South Wales,Hunter Valley exc Newcastle,-32.6642,151.7983
Balladoran,New South Wales,Far West and Orana,-31.865,148.6521
Ballalaba,New South Wales,Capital Region,-35.5902,149.6655
Balldale,New South Wales,Murray,-35.8466,146.5197
Ballengarra,New South Wales,Mid North Coast,-31.3178,152.7052
Ballimore,New South Wales,Far West and Orana,-32.2,148.9
Ballina,,,-28.8641,153.5654
Ballyroe,,,-34.008,149.5366
Balmain,,,-33.8548,151.1833
Balmain East,,,-33.8571,151.1928
Balmoral (Lake Macquarie - NSW),,,,
Balmoral (Wingecarribee - NSW),,,,
Balranald,,,-34.6365,143.5614
Bamarang,New South Wales,Southern Highlands and Shoalhaven,-34.8965,150.5232
Banda Banda,New South Wales,Mid North Coast,-31.2157,152.4566
Bandon Grove,New South Wales,Hunter Valley exc Newcastle,-32.4397,151.6947
Bangadang,New South Wales,Riverina,-35.0668,147.9251
Bangalee (NSW),New South Wales,Southern Highlands and Shoalhaven,,
Bangalow,New South Wales,Richmond - Tweed,-28.6863,153.5215
Bangheet,New South Wales,New England and North West,-29.9146,150.572
Bango,New South Wales,Capital Region,-34.7568,148.967
Bangor (NSW),,,,
Banksia,New South Wales,Sydney - Inner South West,-33.946,151.143
Banksmeadow,,,-33.9566,151.2096
Bankstown,New South Wales,Sydney - Inner South West,-33.9167,151.0333
Bankstown Aerodrome,,,-33.9196,151.0308
Bannaby,,,-34.45,149.9833
