suburb,state,latitude,longitude
Oaks Estate,ACT,-35.34,149.228
Williamsdale,ACT,-35.4404,149.2114
Hume,ACT,-35.3855,149.1658
Paddys River,ACT,-35.4404,149.2114
Kowen Forest,ACT,-35.4404,149.2114
Tharwa,ACT,-35.5167,149.0667
Top Naas,ACT,-35.4404,149.2114
Beard,ACT,-35.3422,149.2101
Kowen,ACT,-35.3129,149.3162
Fisher,ACT,-35.3613,149.057
Denman Prospect,ACT,-35.2996,149.0207
Weston,ACT,-35.3358,149.0593
Rivett,ACT,-35.3471,149.0379
Waramanga,ACT,-35.353,149.0621
Stirling,ACT,-35.3497,149.0493
Weston Creek,ACT,-35.3333,149.05
Pierces Creek,ACT,-35.3497,148.9986
Uriarra Forest,ACT,-35.3497,148.9986
Duffy,ACT,-35.3346,149.0319
Molonglo,ACT,-35.3333,149.1833
Whitlam,ACT,-35.3497,148.9986
Wright,ACT,-35.3224,149.0346
Stromlo,ACT,-35.3255,148.9993
Chapman,ACT,-35.3562,149.0374
Holder,ACT,-35.3344,149.0461
Uriarra Village,ACT,-35.2947,148.9256
Mount Stromlo,ACT,-35.3497,148.9986
Coree,ACT,-35.2794,148.9194
Coombs,ACT,-35.3163,149.0394
Hmas Harman,ACT,-35.307,149.139
Russell Hill,ACT,-35.307,149.139
Canberra,ACT,-35.2835,149.1281
Parkes,ACT,-35.3018,149.1304
Deakin West,ACT,-35.307,149.139
Parliament House,ACT,-35.307,149.139
Fairbairn Raaf,ACT,-35.307,149.139
Russell,ACT,-35.2977,149.151
Yarralumla,ACT,-35.2998,149.1058
Barton,ACT,-35.3049,149.1412
Deakin,ACT,-35.3193,149.1031
Duntroon,ACT,-35.3,149.1667
Harman,ACT,-35.35,149.2
Capital Hill,ACT,-35.3066,149.1246
City,ACT,-35.2813,149.1293
Acton,ACT,-35.2777,149.1183
Black Mountain,ACT,-35.2808,149.1252
Hackett,ACT,-35.2495,149.1635
O’Connor,ACT,-35.2488,149.141
Watson,ACT,-35.2381,149.1527
Downer,ACT,-35.2446,149.1447
O'Connor,ACT,-35.2564,149.1125
Ainslie,ACT,-35.2625,149.1437
Lyneham,ACT,-35.2398,149.1307
Dickson,ACT,-35.2508,149.1393
Forrest,ACT,-35.315,149.1286
Red Hill,ACT,-35.3262,149.1191
Manuka,ACT,-35.3222,149.1283
Griffith,ACT,-35.3253,149.1371
Narrabundah,ACT,-35.3357,149.1492
Causeway,ACT,-35.3151,149.1512
Kingston,ACT,-35.3152,149.1466
Garran,ACT,-35.3421,149.1085
Curtin,ACT,-35.3246,149.0776
Hughes,ACT,-35.3327,149.0949
Lyons,ACT,-35.3406,149.074
Chifley,ACT,-35.3534,149.0768
Phillip,ACT,-35.3503,149.0915
O'Malley,ACT,-35.3525,149.1128
Phillip Dc,ACT,-35.3492,149.0888
O’Malley,ACT,-35.3492,149.0888
Swinger Hill,ACT,-35.3492,149.0888
Woden,ACT,-35.3492,149.0888
Mawson,ACT,-35.3634,149.0986
Isaacs,ACT,-35.3686,149.1156
Pearce,ACT,-35.3622,149.0834
Farrer,ACT,-35.3767,149.105
Torrens,ACT,-35.372,149.0877
Civic Square,ACT,-35.312,149.1294
Canberra Airport,ACT,-35.3179,149.1832
Majura,ACT,-35.2667,149.2
Fyshwick,ACT,-35.3333,149.1667
Pialligo,ACT,-35.3201,149.207
Symonston,ACT,-35.3516,149.1592
Canberra International Airport,ACT,-35.3179,149.1832
Canberra Bc,ACT,-35.27,149.0452
Canberra Mc,ACT,-35.27,149.0452
Reid,ACT,-35.2858,149.1391
Turner,ACT,-35.2688,149.1247
Braddon,ACT,-35.2708,149.1357
Campbell,ACT,-35.2891,149.1538
Page,ACT,-35.2386,149.0499
Weetangera,ACT,-35.25,149.05
Cook,ACT,-35.2601,149.0657
Aranda,ACT,-35.2582,149.0804
Jamison Centre,ACT,-35.2486,149.055
Hawker,ACT,-35.2471,149.0367
Scullin,ACT,-35.2346,149.039
Macquarie,ACT,-35.2513,149.0636
Strathnairn,ACT,-35.21,149.0357
Holt,ACT,-35.2244,149.0119
Higgins,ACT,-35.2324,149.0272
Macnamara,ACT,-35.21,149.0357
Fraser,ACT,-35.1917,149.0453
Flynn,ACT,-35.2059,149.0439
Kippax,ACT,-35.21,149.0357
Charnwood,ACT,-35.2002,149.0341
Kippax Centre,ACT,-35.21,149.0357
Florey,ACT,-35.2259,149.05
Dunlop,ACT,-35.194,149.0198
Latham,ACT,-35.2165,149.0314
Melba,ACT,-35.2102,149.0541
Macgregor,ACT,-35.2098,149.011
Spence,ACT,-35.1987,149.0644
Belconnen,ACT,-35.238,149.0663
University Of Canberra,ACT,-35.2235,149.0863
Belconnen Dc,ACT,-35.2235,149.0863
Lawson,ACT,-35.2241,149.0998
Evatt,ACT,-35.2119,149.0689
Giralang,ACT,-35.2109,149.096
Kaleen,ACT,-35.2181,149.1052
Bruce,ACT,-35.2441,149.0908
Mckellar,ACT,-35.2175,149.077
Hall,ACT,-35.1685,149.0683
Greenway,ACT,-35.4183,149.0666
Tuggeranong,ACT,-35.4165,149.0695
Tuggeranong Dc,ACT,-35.4247,149.0982
Kambah Village,ACT,-35.3862,149.058
Kambah,ACT,-35.3862,149.058
Erindale Centre,ACT,-35.4037,149.0847
Oxley,ACT,-35.4095,149.0786
Wanniassa,ACT,-35.3978,149.0909
Macarthur,ACT,-35.4089,149.127
Monash,ACT,-35.4158,149.0906
Gowrie,ACT,-35.4119,149.109
Fadden,ACT,-35.405,149.1166
Calwell,ACT,-35.4404,149.1071
Gilmore,ACT,-35.4199,149.1348
Theodore,ACT,-35.4496,149.1197
Richardson,ACT,-35.4279,149.1138
Chisholm,ACT,-35.4125,149.1283
Isabella Plains,ACT,-35.4283,149.088
Bonython,ACT,-35.4333,149.0782
Gordon,ACT,-35.4568,149.085
Banks,ACT,-35.4719,149.0997
Conder,ACT,-35.4593,149.1042
Mitchell,ACT,-35.217,149.137
Kenny,ACT,-35.2283,149.1533
Crace,ACT,-35.2028,149.1074
Gungahlin,ACT,-35.1867,149.1362
Taylor,ACT,-35.1489,149.1092
Casey,ACT,-35.167,149.0947
Nicholls,ACT,-35.1873,149.0965
Palmerston,ACT,-35.1945,149.1194
Ginninderra Village,ACT,-35.1783,149.1124
Ngunnawal,ACT,-35.1728,149.1115
Franklin,ACT,-35.1995,149.1433
Throsby,ACT,-35.1865,149.1621
Forde,ACT,-35.1682,149.1461
Moncrieff,ACT,-35.1651,149.1179
Bonner,ACT,-35.1623,149.1386
Harrison,ACT,-35.1991,149.1563
