suburb,state,latitude,longitude,assigned_region
Oaks Estate,ACT,-35.34,149.228,
Williamsdale,ACT,-35.4404,149.2114,
Hume,ACT,-35.3855,149.1658,
Paddys River,ACT,-35.4404,149.2114,Regional ACT
Kowen Forest,ACT,-35.4404,149.2114,Regional ACT
Tharwa,ACT,-35.5167,149.0667,Australian Capital Territory
Top Naas,ACT,-35.4404,149.2114,Regional ACT
Beard,ACT,-35.3422,149.2101,
Kowen,ACT,-35.3129,149.3162,Regional ACT
Fisher,ACT,-35.3613,149.057,Barossa - Yorke - Mid North
Denman Prospect,ACT,-35.2996,149.0207,Australian Capital Territory
Weston,ACT,-35.3358,149.0593,Regional ACT
Rivett,ACT,-35.3471,149.0379,Australian Capital Territory
Waramanga,ACT,-35.353,149.0621,Australian Capital Territory
Stirling,ACT,-35.3497,149.0493,Regional ACT
Weston Creek,ACT,-35.3333,149.05,Latrobe - Gippsland
Pierces Creek,ACT,-35.3497,148.9986,Darling Downs - Maranoa
Uriarra Forest,ACT,-35.3497,148.9986,Regional ACT
Duffy,ACT,-35.3346,149.0319,Australian Capital Territory
Molonglo,ACT,-35.3333,149.1833,Australian Capital Territory
Whitlam,ACT,-35.3497,148.9986,Australian Capital Territory
Wright,ACT,-35.3224,149.0346,Australian Capital Territory
Stromlo,ACT,-35.3255,148.9993,Regional ACT
Chapman,ACT,-35.3562,149.0374,Australian Capital Territory
Holder,ACT,-35.3344,149.0461,Regional ACT
Uriarra Village,ACT,-35.2947,148.9256,Australian Capital Territory
Mount Stromlo,ACT,-35.3497,148.9986,Regional ACT
Coree,ACT,-35.2794,148.9194,Murray
Coombs,ACT,-35.3163,149.0394,Australian Capital Territory
Hmas Harman,ACT,-35.307,149.139,Regional ACT
Russell Hill,ACT,-35.307,149.139,Regional ACT
Canberra,ACT,-35.2835,149.1281,Regional ACT
Parkes,ACT,-35.3018,149.1304,Regional ACT
Deakin West,ACT,-35.307,149.139,Regional ACT
Parliament House,ACT,-35.307,149.139,Regional ACT
Fairbairn Raaf,ACT,-35.307,149.139,Regional ACT
Russell,ACT,-35.2977,149.151,Australian Capital Territory
Yarralumla,ACT,-35.2998,149.1058,Australian Capital Territory
Barton,ACT,-35.3049,149.1412,Australian Capital Territory
Deakin,ACT,-35.3193,149.1031,Australian Capital Territory
Duntroon,ACT,-35.3,149.1667,Regional ACT
Harman,ACT,-35.35,149.2,Regional ACT
Capital Hill,ACT,-35.3066,149.1246,Australian Capital Territory
City,ACT,-35.2813,149.1293,Australian Capital Territory
Acton,ACT,-35.2777,149.1183,Regional ACT
Black Mountain,ACT,-35.2808,149.1252,Regional ACT
Hackett,ACT,-35.2495,149.1635,Australian Capital Territory
O’Connor,ACT,-35.2488,149.141,Regional ACT
Watson,ACT,-35.2381,149.1527,Australian Capital Territory
Downer,ACT,-35.2446,149.1447,Australian Capital Territory
O'Connor,ACT,-35.2564,149.1125,Regional ACT
Ainslie,ACT,-35.2625,149.1437,Australian Capital Territory
Lyneham,ACT,-35.2398,149.1307,Australian Capital Territory
Dickson,ACT,-35.2508,149.1393,Australian Capital Territory
Forrest,ACT,-35.315,149.1286,
Red Hill,ACT,-35.3262,149.1191,Launceston and North East
Manuka,ACT,-35.3222,149.1283,Regional ACT
Griffith,ACT,-35.3253,149.1371,Regional ACT
Narrabundah,ACT,-35.3357,149.1492,Australian Capital Territory
Causeway,ACT,-35.3151,149.1512,Regional ACT
Kingston,ACT,-35.3152,149.1466,New England and North West
Garran,ACT,-35.3421,149.1085,Australian Capital Territory
Curtin,ACT,-35.3246,149.0776,Australian Capital Territory
Hughes,ACT,-35.3327,149.0949,Regional ACT
Lyons,ACT,-35.3406,149.074,Regional ACT
Chifley,ACT,-35.3534,149.0768,Regional ACT
Phillip,ACT,-35.3503,149.0915,Australian Capital Territory
O'Malley,ACT,-35.3525,149.1128,Australian Capital Territory
Phillip Dc,ACT,-35.3492,149.0888,Regional ACT
O’Malley,ACT,-35.3492,149.0888,Regional ACT
Swinger Hill,ACT,-35.3492,149.0888,Regional ACT
Woden,ACT,-35.3492,149.0888,Regional ACT
Mawson,ACT,-35.3634,149.0986,Australian Capital Territory
Isaacs,ACT,-35.3686,149.1156,Australian Capital Territory
Pearce,ACT,-35.3622,149.0834,Australian Capital Territory
Farrer,ACT,-35.3767,149.105,Australian Capital Territory
Torrens,ACT,-35.372,149.0877,Australian Capital Territory
Civic Square,ACT,-35.312,149.1294,Regional ACT
Canberra Airport,ACT,-35.3179,149.1832,Australian Capital Territory
Majura,ACT,-35.2667,149.2,Regional ACT
Fyshwick,ACT,-35.3333,149.1667,Australian Capital Territory
Pialligo,ACT,-35.3201,149.207,Australian Capital Territory
Symonston,ACT,-35.3516,149.1592,Australian Capital Territory
Canberra International Airport,ACT,-35.3179,149.1832,Regional ACT
Canberra Bc,ACT,-35.27,149.0452,Regional ACT
Canberra Mc,ACT,-35.27,149.0452,Regional ACT
Reid,ACT,-35.2858,149.1391,Regional ACT
Turner,ACT,-35.2688,149.1247,Australian Capital Territory
Braddon,ACT,-35.2708,149.1357,Australian Capital Territory
Campbell,ACT,-35.2891,149.1538,Australian Capital Territory
Page,ACT,-35.2386,149.0499,Australian Capital Territory
Weetangera,ACT,-35.25,149.05,Australian Capital Territory
Cook,ACT,-35.2601,149.0657,Australian Capital Territory
Aranda,ACT,-35.2582,149.0804,Australian Capital Territory
Jamison Centre,ACT,-35.2486,149.055,Regional ACT
Hawker,ACT,-35.2471,149.0367,Regional ACT
Scullin,ACT,-35.2346,149.039,Australian Capital Territory
Macquarie,ACT,-35.2513,149.0636,Australian Capital Territory
Strathnairn,ACT,-35.21,149.0357,Australian Capital Territory
Holt,ACT,-35.2244,149.0119,Australian Capital Territory
Higgins,ACT,-35.2324,149.0272,Australian Capital Territory
Macnamara,ACT,-35.21,149.0357,
Fraser,ACT,-35.1917,149.0453,Australian Capital Territory
Flynn,ACT,-35.2059,149.0439,Regional ACT
Kippax,ACT,-35.21,149.0357,Mid North Coast
Charnwood,ACT,-35.2002,149.0341,Australian Capital Territory
Kippax Centre,ACT,-35.21,149.0357,Regional ACT
Florey,ACT,-35.2259,149.05,Australian Capital Territory
Dunlop,ACT,-35.194,149.0198,Australian Capital Territory
Latham,ACT,-35.2165,149.0314,Regional ACT
Melba,ACT,-35.2102,149.0541,Australian Capital Territory
Macgregor,ACT,-35.2098,149.011,Regional ACT
Spence,ACT,-35.1987,149.0644,
Belconnen,ACT,-35.238,149.0663,Australian Capital Territory
