suburb,state,latitude,longitude,assigned_region
Oaks Estate,ACT,-35.34,149.228,
Williamsdale,ACT,-35.4404,149.2114,
Hume,ACT,-35.3855,149.1658,
Paddys River,ACT,-35.4404,149.2114,
Kowen Forest,ACT,-35.4404,149.2114,
Top Naas,ACT,-35.4404,149.2114,
Beard,ACT,-35.3422,149.2101,
Kowen,ACT,-35.3129,149.3162,
Fisher,ACT,-35.3613,149.057,
Weston,ACT,-35.3358,149.0593,
Stirling,ACT,-35.3497,149.0493,
Weston Creek,ACT,-35.3333,149.05,
Uriarra Forest,ACT,-35.3497,148.9986,
Stromlo,ACT,-35.3255,148.9993,
Holder,ACT,-35.3344,149.0461,
Mount Stromlo,ACT,-35.3497,148.9986,
Hmas Harman,ACT,-35.307,149.139,
Russell Hill,ACT,-35.307,149.139,
Canberra,ACT,-35.2835,149.1281,
Parkes,ACT,-35.3018,149.1304,
Deakin West,ACT,-35.307,149.139,
Parliament House,ACT,-35.307,149.139,
Fairbairn Raaf,ACT,-35.307,149.139,
Duntroon,ACT,-35.3,149.1667,
Harman,ACT,-35.35,149.2,
Acton,ACT,-35.2777,149.1183,
Black Mountain,ACT,-35.2808,149.1252,
O’Connor,ACT,-35.2488,149.141,
O'Connor,ACT,-35.2564,149.1125,
Forrest,ACT,-35.315,149.1286,
Red Hill,ACT,-35.3262,149.1191,
Manuka,ACT,-35.3222,149.1283,
Griffith,ACT,-35.3253,149.1371,
Causeway,ACT,-35.3151,149.1512,
Kingston,ACT,-35.3152,149.1466,
Hughes,ACT,-35.3327,149.0949,
Lyons,ACT,-35.3406,149.074,
Chifley,ACT,-35.3534,149.0768,
Phillip Dc,ACT,-35.3492,149.0888,
O’Malley,ACT,-35.3492,149.0888,
Swinger Hill,ACT,-35.3492,149.0888,
Woden,ACT,-35.3492,149.0888,
Civic Square,ACT,-35.312,149.1294,
Majura,ACT,-35.2667,149.2,
Canberra International Airport,ACT,-35.3179,149.1832,
Canberra Bc,ACT,-35.27,149.0452,
Canberra Mc,ACT,-35.27,149.0452,
Reid,ACT,-35.2858,149.1391,
Jamison Centre,ACT,-35.2486,149.055,
Hawker,ACT,-35.2471,149.0367,
Macnamara,ACT,-35.21,149.0357,
Flynn,ACT,-35.2059,149.0439,
Kippax,ACT,-35.21,149.0357,
Kippax Centre,ACT,-35.21,149.0357,
Latham,ACT,-35.2165,149.0314,
Macgregor,ACT,-35.2098,149.011,
Spence,ACT,-35.1987,149.0644,
University Of Canberra,ACT,-35.2235,149.0863,
Belconnen Dc,ACT,-35.2235,149.0863,
Lawson,ACT,-35.2241,149.0998,
Bruce,ACT,-35.2441,149.0908,
Hall,ACT,-35.1685,149.0683,
Tuggeranong,ACT,-35.4165,149.0695,
Tuggeranong Dc,ACT,-35.4247,149.0982,
Kambah Village,ACT,-35.3862,149.058,
Erindale Centre,ACT,-35.4037,149.0847,
Oxley,ACT,-35.4095,149.0786,
Macarthur,ACT,-35.4089,149.127,
Monash,ACT,-35.4158,149.0906,
Gowrie,ACT,-35.4119,149.109,
Gilmore,ACT,-35.4199,149.1348,
Theodore,ACT,-35.4496,149.1197,
Chisholm,ACT,-35.4125,149.1283,
Gordon,ACT,-35.4568,149.085,
Mitchell,ACT,-35.217,149.137,
Kenny,ACT,-35.2283,149.1533,
Palmerston,ACT,-35.1945,149.1194,
Ginninderra Village,ACT,-35.1783,149.1124,
Franklin,ACT,-35.1995,149.1433,
Amaroo,ACT,-35.1696,149.128,
Hmas Creswell,ACT,-35.0036,150.586,
Jervis Bay,ACT,-35.0036,150.586,
Wreck Bay,ACT,-35.0036,150.586,
Chullora,NSW,-33.8923,151.0473,
Moorebank,NSW,-33.9437,150.9566,
Lavington Dc,NSW,-36.0362,146.935,
Albury Msc,NSW,-34.7062,146.4742,
Lake Hume Village,NSW,-36.2676,147.0798,
University Of New England,NSW,-30.7539,151.1366,
Newton Boyd,NSW,-29.7976,152.2659,
Moggs Swamp,NSW,-29.9475,152.0668,
Gibraltar Range,NSW,-29.6666,151.9262,
Stonehenge,NSW,-29.8164,151.7351,
Spring Mountain,NSW,-28.5973,153.4457,
Morven,NSW,-29.6666,151.9262,
Lambs Valley,NSW,-29.6666,151.9262,
Kingsgate,NSW,-29.8006,152.0893,
East Ballina,NSW,-28.8571,153.5874,
Lennox Head,NSW,-28.7913,153.592,
Ballina Dc,NSW,-28.8597,153.5354,
Pimlico,NSW,-28.9152,153.4846,
Coolgardie,NSW,-28.9115,153.4567,
South Ballina,NSW,-28.8841,153.5616,
Ballina,NSW,-28.8641,153.5654,
Empire Vale,NSW,-28.9168,153.5153,
West Ballina,NSW,-28.862,153.5329,
Keith Hall,NSW,-28.8935,153.549,
Patchs Beach,NSW,-28.9474,153.5147,
Skennars Head,NSW,-28.8289,153.6021,
Binna Burra,NSW,-28.7016,153.4988,
Boat Harbour,NSW,-28.3167,153.35,
Eureka,NSW,-28.6818,153.4346,
Bentley,NSW,-28.7793,153.1135,
Federal,NSW,-28.6485,153.4512,
Gundurimba,NSW,-28.85,153.2667,
Tuntable Falls,NSW,-28.7493,153.2724,
Steve Kings Plains,NSW,-28.7493,153.2724,
Lismore Dc,NSW,-28.7493,153.2724,
Back Creek,NSW,-28.6031,153.0298,
Corndale,NSW,-28.7091,153.3624,
Clunes,NSW,-28.7312,153.4074,
Lismore,NSW,-28.8135,153.2773,
Missingham,NSW,-28.7,153.0333,
Richmond Hill,NSW,-29.0581,153.2822,
Clovass,NSW,-28.872,153.149,
Eltham,NSW,-28.7596,153.4084,
Suffolk Park,NSW,-28.6881,153.6098,
Tyagarah,NSW,-28.609,153.5557,
Broken Head,NSW,-28.7291,153.6087,
Byron Bay,NSW,-28.6499,153.6125,
Botany,NSW,-33.946,151.1959,
Rosebery,NSW,-33.9167,151.2,
Eastlakes,NSW,-33.932,151.2121,
Banksmeadow,NSW,-33.9566,151.2096,
Daceyville,NSW,-33.9288,151.2258,
Kingsford,NSW,-33.924,151.2275,
Maroubra,NSW,-33.95,151.2333,
Maroubra South,NSW,-33.95,151.2333,
Pagewood,NSW,-33.9414,151.2109,
La Perouse,NSW,-33.9872,151.2317,
Matraville,NSW,-33.9634,151.2319,
Port Botany,NSW,-33.9745,151.2228,
Chifley,NSW,-33.967,151.2422,
Malabar,NSW,-33.9622,151.248,
Phillip Bay,NSW,-33.9816,151.234,
Little Bay,NSW,-33.979,151.243,
Hillsdale,NSW,-33.9515,151.2278,
Eastgardens,NSW,-33.9451,151.2258,
Wolli Creek,NSW,-33.9313,151.1522,
